Population,Plant,Trait,TransplantSite,TraitValue
Clayton,3965-16,StemLength,Stanford,64
Clayton,3965-16,StemLength,Mather,22
Clayton,3965-16,StemLength,Timberline,0
Clayton,3965-16,NumStems,Stanford,12
Clayton,3965-16,NumStems,Mather,3
Clayton,3965-16,NumStems,Timberline,0
Clayton,3965-17,StemLength,Stanford,72
Clayton,3965-17,StemLength,Mather,33
Clayton,3965-17,StemLength,Timberline,0
Clayton,3965-17,NumStems,Stanford,10
Clayton,3965-17,NumStems,Mather,4
Clayton,3965-17,NumStems,Timberline,0
Clayton,3965-18,StemLength,Stanford,79
Clayton,3965-18,StemLength,Mather,48
Clayton,3965-18,StemLength,Timberline,0
Clayton,3965-18,NumStems,Stanford,18.3
Clayton,3965-18,NumStems,Mather,20
Clayton,3965-18,NumStems,Timberline,0
Clayton,3965-19,StemLength,Stanford,63
Clayton,3965-19,StemLength,Mather,42
Clayton,3965-19,StemLength,Timberline,0
Clayton,3965-19,NumStems,Stanford,15
Clayton,3965-19,NumStems,Mather,9
Clayton,3965-19,NumStems,Timberline,0
Clayton,3965-20,StemLength,Stanford,73
Clayton,3965-20,StemLength,Mather,35
Clayton,3965-20,StemLength,Timberline,0
Clayton,3965-20,NumStems,Stanford,26.3
Clayton,3965-20,NumStems,Mather,3.7
Clayton,3965-20,NumStems,Timberline,0
Clayton,3965-21,StemLength,Stanford,82
Clayton,3965-21,StemLength,Mather,43
Clayton,3965-21,StemLength,Timberline,0
Clayton,3965-21,NumStems,Stanford,21
Clayton,3965-21,NumStems,Mather,4.5
Clayton,3965-21,NumStems,Timberline,0
Clayton,3965-22,StemLength,Stanford,76
Clayton,3965-22,StemLength,Mather,41
Clayton,3965-22,StemLength,Timberline,0
Clayton,3965-22,NumStems,Stanford,38.7
Clayton,3965-22,NumStems,Mather,15.7
Clayton,3965-22,NumStems,Timberline,0
Clayton,3965-23,StemLength,Stanford,59
Clayton,3965-23,StemLength,Mather,32
Clayton,3965-23,StemLength,Timberline,0
Clayton,3965-23,NumStems,Stanford,11.7
Clayton,3965-23,NumStems,Mather,6
Clayton,3965-23,NumStems,Timberline,0
Clayton,3965-24,StemLength,Stanford,69
Clayton,3965-24,StemLength,Mather,57
Clayton,3965-24,StemLength,Timberline,0
Clayton,3965-24,NumStems,Stanford,8
Clayton,3965-24,NumStems,Mather,9.3
Clayton,3965-24,NumStems,Timberline,0
Clayton,3965-25,StemLength,Stanford,75
Clayton,3965-25,StemLength,Mather,31
Clayton,3965-25,StemLength,Timberline,0
Clayton,3965-25,NumStems,Stanford,12.3
Clayton,3965-25,NumStems,Mather,5.3
Clayton,3965-25,NumStems,Timberline,0
Clayton,3965-26,StemLength,Stanford,83
Clayton,3965-26,StemLength,Mather,46
Clayton,3965-26,StemLength,Timberline,0
Clayton,3965-26,NumStems,Stanford,8.3
Clayton,3965-26,NumStems,Mather,8.7
Clayton,3965-26,NumStems,Timberline,0
Clayton,3965-27,StemLength,Stanford,75
Clayton,3965-27,StemLength,Mather,45
Clayton,3965-27,StemLength,Timberline,0
Clayton,3965-27,NumStems,Stanford,22.7
Clayton,3965-27,NumStems,Mather,14
Clayton,3965-27,NumStems,Timberline,0
Clayton,3965-28,StemLength,Stanford,65
Clayton,3965-28,StemLength,Mather,33
Clayton,3965-28,StemLength,Timberline,0
Clayton,3965-28,NumStems,Stanford,23
Clayton,3965-28,NumStems,Mather,8
Clayton,3965-28,NumStems,Timberline,0
Clayton,3965-29,StemLength,Stanford,49
Clayton,3965-29,StemLength,Mather,13
Clayton,3965-29,StemLength,Timberline,0
Clayton,3965-29,NumStems,Stanford,7.5
Clayton,3965-29,NumStems,Mather,6
Clayton,3965-29,NumStems,Timberline,0
Clayton,3965-30,StemLength,Stanford,62
Clayton,3965-30,StemLength,Mather,22
Clayton,3965-30,StemLength,Timberline,0
Clayton,3965-30,NumStems,Stanford,7.7
Clayton,3965-30,NumStems,Mather,8
Clayton,3965-30,NumStems,Timberline,0
Grovelan,3967-1,StemLength,Stanford,86
Grovelan,3967-1,StemLength,Mather,41
Grovelan,3967-1,StemLength,Timberline,0
Grovelan,3967-1,NumStems,Stanford,20.7
Grovelan,3967-1,NumStems,Mather,4.5
Grovelan,3967-1,NumStems,Timberline,0
Grovelan,3967-2,StemLength,Stanford,93
Grovelan,3967-2,StemLength,Mather,62
Grovelan,3967-2,StemLength,Timberline,0
Grovelan,3967-2,NumStems,Stanford,14
Grovelan,3967-2,NumStems,Mather,20.3
Grovelan,3967-2,NumStems,Timberline,0
Grovelan,3967-3,StemLength,Stanford,77
Grovelan,3967-3,StemLength,Mather,61
Grovelan,3967-3,StemLength,Timberline,0
Grovelan,3967-3,NumStems,Stanford,8.7
Grovelan,3967-3,NumStems,Mather,39.5
Grovelan,3967-3,NumStems,Timberline,0
Grovelan,3967-4,StemLength,Stanford,111
Grovelan,3967-4,StemLength,Mather,72
Grovelan,3967-4,StemLength,Timberline,23
Grovelan,3967-4,NumStems,Stanford,19.3
Grovelan,3967-4,NumStems,Mather,24.3
Grovelan,3967-4,NumStems,Timberline,2
Grovelan,3967-5,StemLength,Stanford,94
Grovelan,3967-5,StemLength,Mather,60
Grovelan,3967-5,StemLength,Timberline,15
Grovelan,3967-5,NumStems,Stanford,14.3
Grovelan,3967-5,NumStems,Mather,17.5
Grovelan,3967-5,NumStems,Timberline,1.7
Grovelan,3967-6,StemLength,Stanford,83
Grovelan,3967-6,StemLength,Mather,55
Grovelan,3967-6,StemLength,Timberline,0
Grovelan,3967-6,NumStems,Stanford,16.3
Grovelan,3967-6,NumStems,Mather,14.3
Grovelan,3967-6,NumStems,Timberline,0
Grovelan,3967-7,StemLength,Stanford,87
Grovelan,3967-7,StemLength,Mather,55
Grovelan,3967-7,StemLength,Timberline,9
Grovelan,3967-7,NumStems,Stanford,20.7
Grovelan,3967-7,NumStems,Mather,8.7
Grovelan,3967-7,NumStems,Timberline,1.5
Grovelan,3967-8,StemLength,Stanford,69
Grovelan,3967-8,StemLength,Mather,36
Grovelan,3967-8,StemLength,Timberline,0
Grovelan,3967-8,NumStems,Stanford,15.7
Grovelan,3967-8,NumStems,Mather,15
Grovelan,3967-8,NumStems,Timberline,0
Grovelan,3967-9,StemLength,Stanford,75
Grovelan,3967-9,StemLength,Mather,53
Grovelan,3967-9,StemLength,Timberline,9
Grovelan,3967-9,NumStems,Stanford,5
Grovelan,3967-9,NumStems,Mather,14
Grovelan,3967-9,NumStems,Timberline,1
Grovelan,3967-10,StemLength,Stanford,69
Grovelan,3967-10,StemLength,Mather,62
Grovelan,3967-10,StemLength,Timberline,7
Grovelan,3967-10,NumStems,Stanford,8.3
Grovelan,3967-10,NumStems,Mather,7
Grovelan,3967-10,NumStems,Timberline,0.5
Grovelan,3967-11,StemLength,Stanford,98
Grovelan,3967-11,StemLength,Mather,72
Grovelan,3967-11,StemLength,Timberline,5
Grovelan,3967-11,NumStems,Stanford,21.3
Grovelan,3967-11,NumStems,Mather,13
Grovelan,3967-11,NumStems,Timberline,0
Grovelan,3967-12,StemLength,Stanford,87
Grovelan,3967-12,StemLength,Mather,29
Grovelan,3967-12,StemLength,Timberline,24
Grovelan,3967-12,NumStems,Stanford,12.5
Grovelan,3967-12,NumStems,Mather,3.5
Grovelan,3967-12,NumStems,Timberline,3.3
Grovelan,3967-13,StemLength,Stanford,79
Grovelan,3967-13,StemLength,Mather,60
Grovelan,3967-13,StemLength,Timberline,0
Grovelan,3967-13,NumStems,Stanford,12.3
Grovelan,3967-13,NumStems,Mather,21.3
Grovelan,3967-13,NumStems,Timberline,0
Grovelan,3967-14,StemLength,Stanford,77
Grovelan,3967-14,StemLength,Mather,45
Grovelan,3967-14,StemLength,Timberline,24
Grovelan,3967-14,NumStems,Stanford,17
Grovelan,3967-14,NumStems,Mather,14
Grovelan,3967-14,NumStems,Timberline,1.5
Grovelan,3967-15,StemLength,Stanford,76
Grovelan,3967-15,StemLength,Mather,62
Grovelan,3967-15,StemLength,Timberline,30
Grovelan,3967-15,NumStems,Stanford,17.3
Grovelan,3967-15,NumStems,Mather,15
Grovelan,3967-15,NumStems,Timberline,2
Grovelan,3967-16,StemLength,Stanford,93
Grovelan,3967-16,StemLength,Mather,72
Grovelan,3967-16,StemLength,Timberline,0
Grovelan,3967-16,NumStems,Stanford,13.3
Grovelan,3967-16,NumStems,Mather,21.3
Grovelan,3967-16,NumStems,Timberline,0
Grovelan,3967-17,StemLength,Stanford,81
Grovelan,3967-17,StemLength,Mather,0
Grovelan,3967-17,StemLength,Timberline,0
Grovelan,3967-17,NumStems,Stanford,14
Grovelan,3967-17,NumStems,Mather,0
Grovelan,3967-17,NumStems,Timberline,0
Grovelan,3967-18,StemLength,Stanford,69
Grovelan,3967-18,StemLength,Mather,49
Grovelan,3967-18,StemLength,Timberline,0
Grovelan,3967-18,NumStems,Stanford,10.7
Grovelan,3967-18,NumStems,Mather,13.3
Grovelan,3967-18,NumStems,Timberline,0
Grovelan,3967-19,StemLength,Stanford,61
Grovelan,3967-19,StemLength,Mather,73
Grovelan,3967-19,StemLength,Timberline,0
Grovelan,3967-19,NumStems,Stanford,9.7
Grovelan,3967-19,NumStems,Mather,7
Grovelan,3967-19,NumStems,Timberline,0
Grovelan,3967-20,StemLength,Stanford,86
Grovelan,3967-20,StemLength,Mather,69
Grovelan,3967-20,StemLength,Timberline,17
Grovelan,3967-20,NumStems,Stanford,17.5
Grovelan,3967-20,NumStems,Mather,41.3
Grovelan,3967-20,NumStems,Timberline,0.3
Grovelan,3967-21,StemLength,Stanford,88
Grovelan,3967-21,StemLength,Mather,58
Grovelan,3967-21,StemLength,Timberline,9
Grovelan,3967-21,NumStems,Stanford,11.7
Grovelan,3967-21,NumStems,Mather,39.3
Grovelan,3967-21,NumStems,Timberline,1
Grovelan,3967-22,StemLength,Stanford,108
Grovelan,3967-22,StemLength,Mather,65
Grovelan,3967-22,StemLength,Timberline,0
Grovelan,3967-22,NumStems,Stanford,13.3
Grovelan,3967-22,NumStems,Mather,23
Grovelan,3967-22,NumStems,Timberline,0
Grovelan,3967-23,StemLength,Stanford,99
Grovelan,3967-23,StemLength,Mather,64
Grovelan,3967-23,StemLength,Timberline,0
Grovelan,3967-23,NumStems,Stanford,10
Grovelan,3967-23,NumStems,Mather,17
Grovelan,3967-23,NumStems,Timberline,0
Grovelan,3967-24,StemLength,Stanford,73
Grovelan,3967-24,StemLength,Mather,58
Grovelan,3967-24,StemLength,Timberline,0
Grovelan,3967-24,NumStems,Stanford,7.5
Grovelan,3967-24,NumStems,Mather,33.7
Grovelan,3967-24,NumStems,Timberline,0
Grovelan,3967-25,StemLength,Stanford,86
Grovelan,3967-25,StemLength,Mather,65
Grovelan,3967-25,StemLength,Timberline,0
Grovelan,3967-25,NumStems,Stanford,29
Grovelan,3967-25,NumStems,Mather,58.7
Grovelan,3967-25,NumStems,Timberline,0
Grovelan,3967-26,StemLength,Stanford,70
Grovelan,3967-26,StemLength,Mather,60
Grovelan,3967-26,StemLength,Timberline,0
Grovelan,3967-26,NumStems,Stanford,12.5
Grovelan,3967-26,NumStems,Mather,39.3
Grovelan,3967-26,NumStems,Timberline,0
Grovelan,3967-27,StemLength,Stanford,84
Grovelan,3967-27,StemLength,Mather,63
Grovelan,3967-27,StemLength,Timberline,0
Grovelan,3967-27,NumStems,Stanford,14
Grovelan,3967-27,NumStems,Mather,61
Grovelan,3967-27,NumStems,Timberline,0
Grovelan,3967-28,StemLength,Stanford,84
Grovelan,3967-28,StemLength,Mather,51
Grovelan,3967-28,StemLength,Timberline,14
Grovelan,3967-28,NumStems,Stanford,37.3
Grovelan,3967-28,NumStems,Mather,25
Grovelan,3967-28,NumStems,Timberline,2.7
Grovelan,3967-29,StemLength,Stanford,76
Grovelan,3967-29,StemLength,Mather,56
Grovelan,3967-29,StemLength,Timberline,0
Grovelan,3967-29,NumStems,Stanford,30.5
Grovelan,3967-29,NumStems,Mather,27
Grovelan,3967-29,NumStems,Timberline,0
Grovelan,3967-30,StemLength,Stanford,90
Grovelan,3967-30,StemLength,Mather,0
Grovelan,3967-30,StemLength,Timberline,0
Grovelan,3967-30,NumStems,Stanford,18
Grovelan,3967-30,NumStems,Mather,0
Grovelan,3967-30,NumStems,Timberline,0
KnightsFerry,3966-1,StemLength,Stanford,78
KnightsFerry,3966-1,StemLength,Mather,0
KnightsFerry,3966-1,StemLength,Timberline,0
KnightsFerry,3966-1,NumStems,Stanford,14.7
KnightsFerry,3966-1,NumStems,Mather,0
KnightsFerry,3966-1,NumStems,Timberline,0
KnightsFerry,3966-2,StemLength,Stanford,77
KnightsFerry,3966-2,StemLength,Mather,28
KnightsFerry,3966-2,StemLength,Timberline,0
KnightsFerry,3966-2,NumStems,Stanford,34.7
KnightsFerry,3966-2,NumStems,Mather,17
KnightsFerry,3966-2,NumStems,Timberline,0
KnightsFerry,3966-3,StemLength,Stanford,68
KnightsFerry,3966-3,StemLength,Mather,48
KnightsFerry,3966-3,StemLength,Timberline,0
KnightsFerry,3966-3,NumStems,Stanford,14.7
KnightsFerry,3966-3,NumStems,Mather,10
KnightsFerry,3966-3,NumStems,Timberline,0
KnightsFerry,3966-4,StemLength,Stanford,77
KnightsFerry,3966-4,StemLength,Mather,0
KnightsFerry,3966-4,StemLength,Timberline,0
KnightsFerry,3966-4,NumStems,Stanford,12.7
KnightsFerry,3966-4,NumStems,Mather,0
KnightsFerry,3966-4,NumStems,Timberline,0
KnightsFerry,3966-5,StemLength,Stanford,74
KnightsFerry,3966-5,StemLength,Mather,46
KnightsFerry,3966-5,StemLength,Timberline,0
KnightsFerry,3966-5,NumStems,Stanford,13
KnightsFerry,3966-5,NumStems,Mather,7
KnightsFerry,3966-5,NumStems,Timberline,0
KnightsFerry,3966-6,StemLength,Stanford,69
KnightsFerry,3966-6,StemLength,Mather,36
KnightsFerry,3966-6,StemLength,Timberline,0
KnightsFerry,3966-6,NumStems,Stanford,37
KnightsFerry,3966-6,NumStems,Mather,22
KnightsFerry,3966-6,NumStems,Timberline,0
KnightsFerry,3966-7,StemLength,Stanford,85
KnightsFerry,3966-7,StemLength,Mather,37
KnightsFerry,3966-7,StemLength,Timberline,0
KnightsFerry,3966-7,NumStems,Stanford,27
KnightsFerry,3966-7,NumStems,Mather,8
KnightsFerry,3966-7,NumStems,Timberline,0
KnightsFerry,3966-8,StemLength,Stanford,73
KnightsFerry,3966-8,StemLength,Mather,28
KnightsFerry,3966-8,StemLength,Timberline,0
KnightsFerry,3966-8,NumStems,Stanford,29.7
KnightsFerry,3966-8,NumStems,Mather,14
KnightsFerry,3966-8,NumStems,Timberline,0
KnightsFerry,3966-9,StemLength,Stanford,99
KnightsFerry,3966-9,StemLength,Mather,18
KnightsFerry,3966-9,StemLength,Timberline,0
KnightsFerry,3966-9,NumStems,Stanford,24.7
KnightsFerry,3966-9,NumStems,Mather,4
KnightsFerry,3966-9,NumStems,Timberline,0
KnightsFerry,3966-10,StemLength,Stanford,99
KnightsFerry,3966-10,StemLength,Mather,35
KnightsFerry,3966-10,StemLength,Timberline,0
KnightsFerry,3966-10,NumStems,Stanford,29.3
KnightsFerry,3966-10,NumStems,Mather,2
KnightsFerry,3966-10,NumStems,Timberline,0
KnightsFerry,3966-11,StemLength,Stanford,69
KnightsFerry,3966-11,StemLength,Mather,33
KnightsFerry,3966-11,StemLength,Timberline,0
KnightsFerry,3966-11,NumStems,Stanford,25
KnightsFerry,3966-11,NumStems,Mather,23
KnightsFerry,3966-11,NumStems,Timberline,0
KnightsFerry,3966-12,StemLength,Stanford,88
KnightsFerry,3966-12,StemLength,Mather,18
KnightsFerry,3966-12,StemLength,Timberline,0
KnightsFerry,3966-12,NumStems,Stanford,17.7
KnightsFerry,3966-12,NumStems,Mather,8
KnightsFerry,3966-12,NumStems,Timberline,0
KnightsFerry,3966-13,StemLength,Stanford,92
KnightsFerry,3966-13,StemLength,Mather,27
KnightsFerry,3966-13,StemLength,Timberline,0
KnightsFerry,3966-13,NumStems,Stanford,30.7
KnightsFerry,3966-13,NumStems,Mather,4.5
KnightsFerry,3966-13,NumStems,Timberline,0
KnightsFerry,3966-14,StemLength,Stanford,71
KnightsFerry,3966-14,StemLength,Mather,0
KnightsFerry,3966-14,StemLength,Timberline,0
KnightsFerry,3966-14,NumStems,Stanford,47.3
KnightsFerry,3966-14,NumStems,Mather,0
KnightsFerry,3966-14,NumStems,Timberline,0
KnightsFerry,3966-15,StemLength,Stanford,76
KnightsFerry,3966-15,StemLength,Mather,40
KnightsFerry,3966-15,StemLength,Timberline,0
KnightsFerry,3966-15,NumStems,Stanford,22.3
KnightsFerry,3966-15,NumStems,Mather,7.5
KnightsFerry,3966-15,NumStems,Timberline,0
KnightsFerry,3966-16,StemLength,Stanford,48
KnightsFerry,3966-16,StemLength,Mather,39
KnightsFerry,3966-16,StemLength,Timberline,0
KnightsFerry,3966-16,NumStems,Stanford,15.5
KnightsFerry,3966-16,NumStems,Mather,8.5
KnightsFerry,3966-16,NumStems,Timberline,0
KnightsFerry,3966-17,StemLength,Stanford,90
KnightsFerry,3966-17,StemLength,Mather,25
KnightsFerry,3966-17,StemLength,Timberline,0
KnightsFerry,3966-17,NumStems,Stanford,18
KnightsFerry,3966-17,NumStems,Mather,2
KnightsFerry,3966-17,NumStems,Timberline,0
KnightsFerry,3966-18,StemLength,Stanford,67
KnightsFerry,3966-18,StemLength,Mather,49
KnightsFerry,3966-18,StemLength,Timberline,0
KnightsFerry,3966-18,NumStems,Stanford,19.5
KnightsFerry,3966-18,NumStems,Mather,2.5
KnightsFerry,3966-18,NumStems,Timberline,0
KnightsFerry,3966-19,StemLength,Stanford,87
KnightsFerry,3966-19,StemLength,Mather,29
KnightsFerry,3966-19,StemLength,Timberline,0
KnightsFerry,3966-19,NumStems,Stanford,22
KnightsFerry,3966-19,NumStems,Mather,2
KnightsFerry,3966-19,NumStems,Timberline,0
KnightsFerry,3966-20,StemLength,Stanford,119
KnightsFerry,3966-20,StemLength,Mather,44
KnightsFerry,3966-20,StemLength,Timberline,0
KnightsFerry,3966-20,NumStems,Stanford,48.3
KnightsFerry,3966-20,NumStems,Mather,4.3
KnightsFerry,3966-20,NumStems,Timberline,0
KnightsFerry,3966-21,StemLength,Stanford,81
KnightsFerry,3966-21,StemLength,Mather,36
KnightsFerry,3966-21,StemLength,Timberline,0
KnightsFerry,3966-21,NumStems,Stanford,35.7
KnightsFerry,3966-21,NumStems,Mather,4.5
KnightsFerry,3966-21,NumStems,Timberline,0
KnightsFerry,3966-22,StemLength,Stanford,88
KnightsFerry,3966-22,StemLength,Mather,31
KnightsFerry,3966-22,StemLength,Timberline,0
KnightsFerry,3966-22,NumStems,Stanford,27.3
KnightsFerry,3966-22,NumStems,Mather,6
KnightsFerry,3966-22,NumStems,Timberline,0
KnightsFerry,3966-23,StemLength,Stanford,71
KnightsFerry,3966-23,StemLength,Mather,48
KnightsFerry,3966-23,StemLength,Timberline,0
KnightsFerry,3966-23,NumStems,Stanford,22
KnightsFerry,3966-23,NumStems,Mather,13.5
KnightsFerry,3966-23,NumStems,Timberline,0
KnightsFerry,3966-24,StemLength,Stanford,88
KnightsFerry,3966-24,StemLength,Mather,41
KnightsFerry,3966-24,StemLength,Timberline,0
KnightsFerry,3966-24,NumStems,Stanford,24
KnightsFerry,3966-24,NumStems,Mather,8
KnightsFerry,3966-24,NumStems,Timberline,0
KnightsFerry,3966-25,StemLength,Stanford,75
KnightsFerry,3966-25,StemLength,Mather,44
KnightsFerry,3966-25,StemLength,Timberline,0
KnightsFerry,3966-25,NumStems,Stanford,18
KnightsFerry,3966-25,NumStems,Mather,11
KnightsFerry,3966-25,NumStems,Timberline,0
KnightsFerry,3966-26,StemLength,Stanford,69
KnightsFerry,3966-26,StemLength,Mather,38
KnightsFerry,3966-26,StemLength,Timberline,0
KnightsFerry,3966-26,NumStems,Stanford,23.3
KnightsFerry,3966-26,NumStems,Mather,10.5
KnightsFerry,3966-26,NumStems,Timberline,0
KnightsFerry,3966-27,StemLength,Stanford,84
KnightsFerry,3966-27,StemLength,Mather,48
KnightsFerry,3966-27,StemLength,Timberline,0
KnightsFerry,3966-27,NumStems,Stanford,29.3
KnightsFerry,3966-27,NumStems,Mather,19.3
KnightsFerry,3966-27,NumStems,Timberline,0
KnightsFerry,3966-28,StemLength,Stanford,79
KnightsFerry,3966-28,StemLength,Mather,32
KnightsFerry,3966-28,StemLength,Timberline,0
KnightsFerry,3966-28,NumStems,Stanford,21
KnightsFerry,3966-28,NumStems,Mather,2.3
KnightsFerry,3966-28,NumStems,Timberline,0
KnightsFerry,3966-29,StemLength,Stanford,70
KnightsFerry,3966-29,StemLength,Mather,46
KnightsFerry,3966-29,StemLength,Timberline,0
KnightsFerry,3966-29,NumStems,Stanford,24
KnightsFerry,3966-29,NumStems,Mather,11
KnightsFerry,3966-29,NumStems,Timberline,0
KnightsFerry,3966-30,StemLength,Stanford,65
KnightsFerry,3966-30,StemLength,Mather,44
KnightsFerry,3966-30,StemLength,Timberline,0
KnightsFerry,3966-30,NumStems,Stanford,21
KnightsFerry,3966-30,NumStems,Mather,9.3
KnightsFerry,3966-30,NumStems,Timberline,0
Mather,3778-1,StemLength,Stanford,89
Mather,3778-1,StemLength,Mather,70
Mather,3778-1,StemLength,Timberline,0
Mather,3778-1,NumStems,Stanford,18
Mather,3778-1,NumStems,Mather,18
Mather,3778-1,NumStems,Timberline,0
Mather,3778-2,StemLength,Stanford,80
Mather,3778-2,StemLength,Mather,83
Mather,3778-2,StemLength,Timberline,20
Mather,3778-2,NumStems,Stanford,9
Mather,3778-2,NumStems,Mather,25.3
Mather,3778-2,NumStems,Timberline,0.7
Mather,3778-3,StemLength,Stanford,87
Mather,3778-3,StemLength,Mather,100
Mather,3778-3,StemLength,Timberline,0
Mather,3778-3,NumStems,Stanford,1
Mather,3778-3,NumStems,Mather,34
Mather,3778-3,NumStems,Timberline,0
Mather,3778-4,StemLength,Stanford,61
Mather,3778-4,StemLength,Mather,85
Mather,3778-4,StemLength,Timberline,0
Mather,3778-4,NumStems,Stanford,7.5
Mather,3778-4,NumStems,Mather,40.3
Mather,3778-4,NumStems,Timberline,0
Mather,3778-6,StemLength,Stanford,101
Mather,3778-6,StemLength,Mather,92
Mather,3778-6,StemLength,Timberline,0
Mather,3778-6,NumStems,Stanford,12
Mather,3778-6,NumStems,Mather,34
Mather,3778-6,NumStems,Timberline,0
Mather,3778-7,StemLength,Stanford,93
Mather,3778-7,StemLength,Mather,82
Mather,3778-7,StemLength,Timberline,0
Mather,3778-7,NumStems,Stanford,10.5
Mather,3778-7,NumStems,Mather,46.3
Mather,3778-7,NumStems,Timberline,0
Mather,3778-8,StemLength,Stanford,78
Mather,3778-8,StemLength,Mather,88
Mather,3778-8,StemLength,Timberline,0
Mather,3778-8,NumStems,Stanford,24.5
Mather,3778-8,NumStems,Mather,36.3
Mather,3778-8,NumStems,Timberline,0
Mather,3778-9,StemLength,Stanford,90
Mather,3778-9,StemLength,Mather,83
Mather,3778-9,StemLength,Timberline,0
Mather,3778-9,NumStems,Stanford,6
Mather,3778-9,NumStems,Mather,11.7
Mather,3778-9,NumStems,Timberline,0
Mather,3778-10,StemLength,Stanford,87
Mather,3778-10,StemLength,Mather,70
Mather,3778-10,StemLength,Timberline,0
Mather,3778-10,NumStems,Stanford,0
Mather,3778-10,NumStems,Mather,23.7
Mather,3778-10,NumStems,Timberline,0
Mather,3778-11,StemLength,Stanford,90
Mather,3778-11,StemLength,Mather,61
Mather,3778-11,StemLength,Timberline,0
Mather,3778-11,NumStems,Stanford,0
Mather,3778-11,NumStems,Mather,16.3
Mather,3778-11,NumStems,Timberline,0
Mather,3778-12,StemLength,Stanford,87
Mather,3778-12,StemLength,Mather,94
Mather,3778-12,StemLength,Timberline,0
Mather,3778-12,NumStems,Stanford,8
Mather,3778-12,NumStems,Mather,38.7
